Product_Family,Product_Family_Id,Product_Group,Product_Group_id,Product_Name,Product_Name_id,Product_Size,Produt_Type
Cucurbitaceae,1051,Gray's Bur Cucumber,3293,Chamaesyce celastroides (Boiss.) Croizat & O. Deg. var. celastroides,2000,Small,Landscape
Platanaceae,1138,Arizona Sycamore,3658,Tetraplasandra waimeae Wawra,2001,Medium,Outdoor
Scrophulariaceae,1167,Little Elephantshead,3876,Iris ×nelsonii Randolph,2002,Small,Outdoor
Euphorbiaceae,1065,'ekoko,3357,Acanthus L.,2003,Large,Outdoor
Amaranthaceae,1006,Philoxerus,3017,Aplectrum hyemale (Muhl. ex Willd.) Torr.,2004,Medium,Landscape
Asteraceae,1020,Greene's Hawkweed,3095,Parkia bicolor A. Chev.,2005,Medium,Indoor
Thelypteridaceae,1180,Resinous Maiden Fern,3913,Oryza glaberrima Steud.,2006,Small,Landscape
Poaceae,1140,Mission Grass,3691,Agapanthus L'Hér.,2007,Medium,Outdoor
Rosaceae,1160,Albertville Hawthorn,3797,Agave L.,2008,Medium,Indoor
Caprifoliaceae,1038,Possumhaw,3243,Neofuscelia ahtii (Essl.) Essl.,2009,Large,Outdoor
Fabaceae,1066,Longstalk Clover,3403,Scutellaria alabamensis Alexander,2010,Large,Landscape
Pertusariaceae,1133,Wulfen's Pore Lichen,3647,Viola wailenalenae (Rock) Skottsb.,2011,Large,Landscape
Asteraceae,1020,Spotted Joe Pye Weed,3137,Crataegus mendosa Beadle,2012,Large,Outdoor
Agavaceae,1003,Redflower False Yucca,3013,Plantago princeps Cham. & Schltdl.,2013,Medium,Indoor
Poaceae,1140,Greenland Alkaligrass,3683,Lathyrus vestitus Nutt. ssp. alefeldii (T.G. White) Broich,2014,Medium,Outdoor
Poaceae,1140,Church's Wildrye,3672,Draba aleutica Ekman ex Hultén,2015,Medium,Indoor
Iridaceae,1088,Annual Blue-eyed Grass,3482,Lomatium caruifolium (Hook. & Arn.) J.M. Coult. & Rose var. denticulatum (Jeps.) Jeps.,2016,Medium,Outdoor
Verbenaceae,1189,Tuberous Vervain,3932,Boykinia aconitifolia Nutt.,2017,Large,Indoor
Fabaceae,1066,Utah Sweetvetch,3430,Mimulus ringens L. var. colpophilus Fernald,2018,Large,Indoor
Salicaceae,1164,Greenscale Willow,3852,Astragalus alpinus L. var. alpinus,2019,Medium,Indoor
Fabaceae,1066,Cima Milkvetch,3382,Alyssum simplex Rudolphi,2020,Medium,Landscape
Fabaceae,1066,Argentine Screwbean,3371,Carissa macrocarpa (Eckl.) A. DC.,2021,Small,Landscape
Polypodiaceae,1144,Resurrection Fern,3753,Leptochloa panicoides (J. Presl) Hitchc.,2022,Large,Landscape
Fabaceae,1066,Alpine Milkvetch,3368,Amblystegium varium (Hedw.) Lindb.,2023,Large,Landscape
Rosaceae,1160,Desert Rose,3806,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,2024,Small,Indoor
Polygonaceae,1143,Reveal's Buckwheat,3745,"Phragmites australis (Cav.) Trin. ex Steud. ssp. americanus Saltonst., P.M. Peterson & Soreng",2025,Medium,Landscape
Garryaceae,1070,Eggleaf Silktassel,3447,Aneilema R. Br.,2026,Small,Landscape
Cyperaceae,1053,Manyspike Flatsedge,3314,Aniba Aubl.,2027,Small,Outdoor
Ophioglossaceae,1124,Little Grapefern,3608,Sisyrinchium rosulatum E.P. Bicknell,2028,Large,Landscape
Rosaceae,1160,Shinyleaf Meadowsweet,3824,Eriogonum annuum Nutt.,2029,Large,Landscape
Gentianaceae,1071,Autumn Dwarf Gentian,3448,Lipochaeta remyi A. Gray,2030,Large,Outdoor
Cyperaceae,1053,Sedge,3319,Phlox drummondii Hook.,2031,Small,Indoor
Marattiaceae,1109,Smooth Potato Fern,3564,Anthracothecium Hampe ex A. Massal.,2032,Large,Indoor
Salicaceae,1164,Diamondleaf Willow,3850,Silene uralensis (Rupr.) Bocquet ssp. attenuata (Farr) McNeill,2033,Medium,Landscape
Grimmiaceae,1076,Grimmia Dry Rock Moss,3457,Astragalus obscurus S. Watson,2034,Medium,Landscape
Grimmiaceae,1076,Grimmia Dry Rock Moss,3457,Oxytropis arctica R. Br.,2035,Small,Outdoor
Hydrophyllaceae,1083,Tricardia,3476,Salix arctica Pall.,2036,Medium,Indoor
Grimmiaceae,1076,Grimmia Dry Rock Moss,3457,Prosopis strombulifera (Lam.) Benth.,2037,Medium,Landscape
Rosaceae,1160,Catalina Island Mountain Mahogany,3802,Alnus oblongifolia Torr.,2038,Large,Indoor
Asteraceae,1020,Sneezeweed,3136,Myosurus cupulatus S. Watson,2039,Small,Landscape
Asteraceae,1020,Awapa Fleabane,3059,Senecio arizonicus Greene,2040,Large,Landscape
Poaceae,1140,Skeletongrass,3710,Pleopeltis thyssanolepis (A. Braun ex Klotzsch) Andrews & Windham [excluded],2041,Large,Outdoor
Roccellaceae,1159,Reinkella Lichen,3795,Platanus wrightii S. Watson,2042,Large,Landscape
Asteraceae,1020,Spotted Knapweed,3138,Ivesia arizonica (Eastw. ex J.T. Howell) Ertter var. arizonica,2043,Small,Indoor
Caryophyllaceae,1039,Awl-leaf Pearlwort,3246,Aphanostephus skirrhobasis (DC.) Trel. var. kidderi (S.F. Blake) B.L. Turner,2044,Medium,Landscape
Malpighiaceae,1106,Azotacaballo,3553,Balsamorhiza sagittata (Pursh) Nutt.,2045,Large,Indoor
Gesneriaceae,1072,Windyridge Cyrtandra,3452,Arthothelium pruinascens Zahlbr.,2046,Small,Indoor
Onagraceae,1122,Wingleaf Primrose-willow,3604,Pilea trianthemoides (Sw.) Lindl.,2047,Large,Outdoor
Parmeliaceae,1129,Parmelinopsis,3641,Fraxinus L.,2048,Small,Outdoor
Hydrocharitaceae,1082,Nechamandra,3464,Linum austriacum L.,2049,Large,Outdoor
Gentianaceae,1071,Catchfly Prairie Gentian,3449,Betula platyphylla Sukaczev var. platyphylla,2050,Large,Outdoor
Polemoniaceae,1141,Skypilot,3729,Atrichum altecristatum (Renauld & Cardot) Smyth & Smyth,2051,Small,Outdoor
Icacinaceae,1087,Palo De Cana,3480,Pisonia brunoniana Endl.,2052,Large,Outdoor
Onagraceae,1122,Farewell To Spring,3598,Cyperus trinervis R. Br.,2053,Small,Landscape
Polemoniaceae,1141,Phlox,3727,Corallorhiza odontorhiza (Willd.) Poir. var. odontorhiza,2054,Large,Indoor
Poaceae,1140,Kamanomano,3688,Gentianella amarella (L.) Börner,2055,Large,Outdoor
Hydrophyllaceae,1083,Baby Blue Eyes,3467,Erigeron awapensis S.L. Welsh,2056,Medium,Indoor
Dicranaceae,1055,Dicranella Moss,3327,Sagina subulata (Sw.) C. Presl,2057,Medium,Outdoor
Brassicaceae,1027,Newberry's Twinpod,3197,Malpighia coccigera L.,2058,Large,Outdoor
Myrtaceae,1117,Large-leaf Yellow Teatree,3575,Nemophila Nutt.,2059,Medium,Outdoor
Rosaceae,1160,Toringo Crab,3829,Correa backhousiana Hook.,2060,Large,Landscape
Asteraceae,1020,Eaton's Fleabane,3080,Platonia esculenta (Arruda) Rickett & Stafleu,2061,Medium,Landscape
Lamiaceae,1091,Reverchon's False Pennyroyal,3501,Paspalum notatum Flueggé var. saurae Parodi,2062,Small,Indoor
Dicranaceae,1055,Dicranum Moss,3328,Paronychia baldwinii (Torr. & A. Gray) Fenzl ex Walp. ssp. baldwinii,2063,Small,Indoor
Lamiaceae,1091,Feather River Monardella,3494,Eleocharis baldwinii (Torr.) Chapm.,2064,Large,Landscape
Chenopodiaceae,1041,Valley Saltbush,3267,Linaria spartea (L.) Chaz.,2065,Medium,Indoor
Orthotrichaceae,1127,Groutiella Moss,3623,Trifolium depauperatum Desv. var. amplectens (Torr. & A. Gray) S. Watson,2066,Medium,Landscape
Iridaceae,1088,Wild Iris,3484,Thelotrema lepadinum (Ach.) Ach.,2067,Small,Landscape
Poaceae,1140,Indian Woodoats,3687,Quercus ×heterophylla Michx. f. (pro sp.),2068,Small,Indoor
Fabaceae,1066,Cascade Clover,3380,Bartramidula Bruch & Schimp.,2069,Large,Outdoor
Cucurbitaceae,1051,Slender Cyclanthera,3297,Bartramiopsis Kindb.,2070,Small,Outdoor
Campanulaceae,1035,Tubeflower Bluecup,3235,Serjania polyphylla (L.) Radlk.,2071,Small,Landscape
Grossulariaceae,1077,Spreading Gooseberry,3459,Rubus exeter L.H. Bailey,2072,Small,Landscape
Scrophulariaceae,1167,Parrothead Indian Paintbrush,3881,Clarkia rostrata W.S. Davis,2073,Small,Outdoor
